"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
"THE WINDSOR SCHOOL","NEW YORK","NEW YORK","NY","NY","THE WINDSOR SCHOOL","00942948",36,4,5,0,0,14,13,11.11,13.89,0,0,38.89,36.11,7.4,"11","city",40.761324,-73.831359,"city"
"HOLY MARTYRS ARMENIAN DAY SCHOOL","NEW YORK","NEW YORK","NY","NY","HOLY MARTYRS ARMENIAN DAY SCHOOL","00943409",82,0,3,0,0,0,52,0,4.76,0,0,0,82.54,9.8,"11","city",40.746517,-73.76733,"city"
"LINDEN SDA SCHOOL","NEW YORK","NEW YORK","NY","NY","LINDEN SDA SCHOOL","00943996",204,198,5,0,0,0,0,97.06,2.45,0,0,0,0,14,"11","city",40.672946,-73.744078,"city"
"R T HUDSON ELEMENTARY SCHOOL","NEW YORK","NEW YORK","NY","NY","R T HUDSON ELEMENTARY SCHOOL","00944173",38,32,2,0,0,0,0,94.12,5.88,0,0,0,0,5,"11","city",40.672944,-73.744169,"city"
"EZRA ACADEMY","NEW YORK","NEW YORK","NY","NY","EZRA ACADEMY","01657916",121,0,1,1,0,0,119,0,0.83,0.83,0,0,98.35,18.5,"11","city",40.714063,-73.832413,"city"
"SHEVACH HIGH SCHOOL","NEW YORK","NEW YORK","NY","NY","SHEVACH HIGH SCHOOL","02047717",197,0,0,0,0,0,197,0,0,0,0,0,100,35,"11","city",40.723895,-73.820026,"city"
"WHITESTONE ACADEMY","NEW YORK","NEW YORK","NY","NY","WHITESTONE ACADEMY","02047943",58,3,3,0,0,39,13,5.17,5.17,0,0,67.24,22.41,11,"11","city",40.79072,-73.813191,"city"
"PROMISE CHRISTIAN ACADEMY","NEW YORK","NEW YORK","NY","NY","PROMISE CHRISTIAN ACADEMY","A0107565",209,3,85,0,0,79,0,1.78,50.3,0,0,46.75,0,13,"11","city",40.769903,-73.838985,"city"
"MIDRASH L'MAN ACHAI","NEW YORK","NEW YORK","NY","NY","MIDRASH L'MAN ACHAI","A0107872",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,"11","city",40.726756,-73.822576,"city"
"WORLD HARVEST DELIVERANCE  CTR  CHRISTIAN ACADEMY","NEW YORK","NEW YORK","NY","NY","WORLD HARVEST DELIVERANCE  CTR  CHRISTIAN ACADEMY","A1101741",24,15,1,0,0,0,0,93.75,6.25,0,0,0,0,3,"11","city",40.605356,-73.751453,"city"
"THE WELLSPRING SCHOOLS","NEW YORK","NEW YORK","NY","NY","THE WELLSPRING SCHOOLS","A1302130",242,12,3,0,0,173,32,5.41,1.35,0,0,77.93,14.41,28.9,"11","city",40.713431,-73.769706,"city"
NA,NA,NA,NA,"NY",NA,"A1502468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.783006,-73.794938,"city"
NA,NA,NA,NA,"NY",NA,"A1502572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.70815,-73.794281,"city"
"SCO FAMILY OF SERVICES/T PAPLIN SCHOOL","NEW YORK","NEW YORK","NY","NY","SCO FAMILY OF SERVICES/T PAPLIN SCHOOL","A1502584",54,24,22,0,1,0,6,44.44,40.74,0,1.85,0,11.11,12,"11","city",40.708825,-73.811198,"city"
"DIVINE WISDOM CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","DIVINE WISDOM CATHOLIC ACADEMY","A1502604",427,76,61,0,2,40,166,21.59,17.33,0,0.57,11.36,47.16,29,"11","city",40.765172,-73.740358,"city"
"ST IRENE CHRYSOVALANTOU","NEW YORK","NEW YORK","NY","NY","ST IRENE CHRYSOVALANTOU","A1592128",52,0,0,0,0,0,43,0,0,0,0,0,100,3.1,"11","city",40.772457,-73.909895,"city"
"LOWELL HIGH SCHOOL","NEW YORK","NEW YORK","NY","NY","LOWELL HIGH SCHOOL","A1903066",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,"11","city",40.744197,-73.822468,"city"
"ST MEL CATHOLIC ACADEMY","NEW YORK","NEW YORK","NY","NY","ST MEL CATHOLIC ACADEMY","A1903131",139,0,10,0,0,10,59,0,12.5,0,0,12.5,73.75,6.6,"11","city",40.773626,-73.80895,"city"
